concentration,声速 - 传感器 1 (50627),温度 - 传感器 1 (50627)
21.5,1556.13,49.51
21.5,1555.51,49.11
21.5,1554.96,48.7
21.5,1554.23,48.27
21.5,1553.67,47.82
21.5,1552.88,47.35
21.5,1552.2,46.88
21.5,1551.53,46.38
21.5,1550.88,45.88
21.5,1549.93,45.36
21.5,1549.17,44.81
21.5,1548.19,44.24
21.5,1547.24,43.67
21.5,1546.28,43.09
21.5,1545.31,42.48
21.5,1544.31,41.89
21.5,1543.31,41.28
21.5,1542.3,40.67
21.5,1541.31,40.05
21.5,1540.26,39.42
21.5,1539.22,38.79
21.5,1538.15,38.16
21.5,1537.02,37.53
21.5,1535.91,36.89
21.5,1534.75,36.26
21.5,1533.62,35.62
21.5,1532.39,34.98
21.5,1531.2,34.33
21.5,1529.92,33.69
21.5,1528.6,33.06
21.5,1527.3,32.4
21.5,1525.98,31.76
21.5,1524.55,31.12
21.5,1523.17,30.48
21.5,1521.75,29.86
21.5,1520.38,29.22
21.5,1518.91,28.6
21.5,1517.47,27.98
21.5,1516.06,27.37
21.5,1514.56,26.76
21.5,1513.1,26.15
21.5,1511.57,25.56
21.5,1510.03,24.96
21.5,1508.54,24.37
21.5,1507.05,23.83
21.5,1505.51,23.25
21.5,1504.07,22.71
21.5,1502.64,22.19
21.5,1501.25,21.69
21.5,1499.84,21.2
21.5,1498.53,20.73
21.5,1497.17,20.28
21.5,1495.98,19.86
21.5,1494.78,19.48
21.5,1493.72,19.12
21.5,1492.83,18.8
21.5,1491.94,18.53
21.5,1491.23,18.29
36.9,1566.83,52.14
36.9,1566.8,52.18
36.9,1566.82,52.21
36.9,1566.81,52.19
36.9,1566.72,52.11
36.9,1566.53,52.0
36.9,1566.41,51.86
36.9,1566.22,51.7
36.9,1566.05,51.51
36.9,1565.76,51.31
36.9,1565.57,51.08
36.9,1565.31,50.85
36.9,1564.99,50.61
36.9,1564.74,50.37
36.9,1564.41,50.12
36.9,1564.12,49.83
36.9,1564.01,49.56
36.9,1563.56,49.37
36.9,1563.32,49.2
36.9,1563.19,49.06
36.9,1563.1,48.96
36.9,1563.02,48.91
36.9,1563.06,48.88
36.9,1562.99,48.87
36.9,1562.99,48.89
36.9,1563.04,48.93
36.9,1563.06,48.97
36.9,1563.16,49.02
36.9,1563.19,49.07
36.9,1563.21,49.09
36.9,1563.1,49.03
36.9,1563.02,48.92
36.9,1562.89,48.78
36.9,1562.69,48.61
36.9,1562.41,48.4
36.9,1562.2,48.12
36.9,1561.89,47.81
36.9,1561.44,47.48
36.9,1561.0,47.12
36.9,1560.48,46.72
36.9,1560.0,46.3
36.9,1559.48,45.86
36.9,1558.9,45.4
36.9,1558.29,44.92
36.9,1557.64,44.42
36.9,1556.99,43.91
36.9,1556.28,43.38
36.9,1555.49,42.84
36.9,1554.71,42.28
36.9,1553.95,41.72
36.9,1553.07,41.14
36.9,1552.17,40.56
36.9,1551.32,39.97
36.9,1550.36,39.37
36.9,1549.44,38.76
36.9,1548.39,38.15
36.9,1547.36,37.53
36.9,1546.35,36.92
36.9,1545.26,36.3
36.9,1544.13,35.67
36.9,1542.98,35.04
36.9,1541.8,34.41
36.9,1540.62,33.78
36.9,1539.38,33.14
36.9,1538.13,32.51
36.9,1536.85,31.87
36.9,1535.54,31.23
36.9,1534.19,30.6
36.9,1532.91,29.97
36.9,1531.55,29.35
36.9,1530.14,28.73
36.9,1528.83,28.14
36.9,1527.38,27.51
36.9,1525.95,26.91
36.9,1524.55,26.32
36.9,1523.14,25.73
36.9,1521.75,25.16
36.9,1520.31,24.59
36.9,1518.97,24.06
36.9,1517.66,23.55
36.9,1516.31,23.05
36.9,1515.15,22.58
36.9,1513.9,22.14
36.9,1512.74,21.71
36.9,1511.64,21.3
36.9,1510.57,20.92
36.9,1509.6,20.55
36.9,1508.58,20.2
36.9,1507.63,19.87
36.9,1506.75,19.57
36.9,1505.92,19.28
36.9,1505.24,19.03
50.8,1577.06,51.81
50.8,1576.99,51.7
50.8,1576.83,51.55
50.8,1576.64,51.35
50.8,1576.34,51.12
50.8,1576.23,50.86
50.8,1575.97,50.56
50.8,1575.66,50.24
50.8,1575.26,49.9
50.8,1574.88,49.53
50.8,1574.53,49.13
50.8,1574.13,48.71
50.8,1573.69,48.28
50.8,1573.15,47.82
50.8,1572.64,47.35
50.8,1572.15,46.88
50.8,1571.61,46.36
50.8,1570.99,45.83
50.8,1570.43,45.3
50.8,1569.72,44.75
50.8,1569.02,44.19
50.8,1568.31,43.63
50.8,1567.52,43.05
50.8,1566.71,42.46
50.8,1565.93,41.86
50.8,1565.05,41.25
50.8,1564.22,40.63
50.8,1563.37,40.0
50.8,1562.49,39.38
50.8,1561.4,38.75
50.8,1560.38,38.12
50.8,1559.37,37.48
50.8,1558.38,36.84
50.8,1557.31,36.2
50.8,1556.18,35.56
50.8,1555.06,34.92
50.8,1553.91,34.28
50.8,1552.77,33.64
50.8,1551.65,33.01
50.8,1550.25,32.35
50.8,1549.08,31.71
50.8,1547.8,31.06
50.8,1546.47,30.43
50.8,1545.17,29.79
50.8,1543.86,29.16
50.8,1542.48,28.53
50.8,1541.17,27.92
50.8,1539.79,27.3
50.8,1538.43,26.69
50.8,1537.09,26.09
50.8,1535.62,25.5
50.8,1534.22,24.91
50.8,1532.87,24.34
50.8,1531.55,23.79
50.8,1530.21,23.25
50.8,1528.86,22.73
50.8,1527.62,22.25
50.8,1526.43,21.8
50.8,1525.27,21.35
50.8,1524.18,20.93
50.8,1523.19,20.55
50.8,1522.13,20.18
50.8,1521.12,19.83
50.8,1520.26,19.5
65.0,1585.65,51.75
65.0,1585.67,51.78
65.0,1585.74,51.81
65.0,1585.72,51.83
65.0,1585.7,51.85
65.0,1585.74,51.86
65.0,1585.68,51.88
65.0,1585.64,51.9
65.0,1585.69,51.91
65.0,1585.6,51.92
65.0,1585.64,51.93
65.0,1585.57,51.95
65.0,1585.84,51.97
65.0,1585.76,51.98
65.0,1585.61,52.01
65.0,1585.53,51.98
65.0,1585.45,51.95
65.0,1585.49,51.93
65.0,1585.42,51.92
65.0,1585.34,51.85
65.0,1585.21,51.71
65.0,1585.07,51.55
65.0,1584.89,51.36
65.0,1584.73,51.14
65.0,1584.5,50.9
65.0,1584.25,50.63
65.0,1583.95,50.35
65.0,1583.61,50.03
65.0,1583.28,49.69
65.0,1582.95,49.33
65.0,1582.59,48.95
65.0,1582.16,48.54
65.0,1581.73,48.13
65.0,1581.37,47.68
65.0,1580.86,47.24
65.0,1580.31,46.77
65.0,1579.78,46.28
65.0,1579.24,45.79
65.0,1578.64,45.27
65.0,1578.02,44.74
65.0,1577.34,44.19
65.0,1576.71,43.63
65.0,1575.94,43.06
65.0,1575.18,42.48
65.0,1574.39,41.9
65.0,1573.63,41.3
65.0,1572.83,40.71
65.0,1571.96,40.1
65.0,1571.07,39.48
65.0,1570.24,38.87
65.0,1569.25,38.26
65.0,1568.3,37.63
65.0,1567.34,37.01
65.0,1566.33,36.38
65.0,1565.37,35.74
65.0,1564.21,35.12
65.0,1563.17,34.48
65.0,1562.07,33.85
65.0,1560.96,33.22
65.0,1559.78,32.58
65.0,1558.57,31.94
65.0,1557.37,31.31
65.0,1556.12,30.67
65.0,1554.88,30.04
65.0,1553.56,29.41
65.0,1552.35,28.8
65.0,1551.05,28.19
65.0,1549.73,27.58
65.0,1548.42,26.99
65.0,1547.15,26.4
65.0,1545.8,25.82
65.0,1544.51,25.25
65.0,1543.16,24.68
65.0,1541.85,24.13
65.0,1540.56,23.6
65.0,1539.3,23.08
65.0,1538.07,22.58
65.0,1536.88,22.1
65.0,1535.73,21.65
65.0,1534.55,21.2
65.0,1533.5,20.78
65.0,1532.45,20.38
65.0,1531.4,20.0
65.0,1530.47,19.65
65.0,1529.54,19.32
65.0,1528.72,19.01
85.5,1597.41,51.78
85.5,1597.37,51.82
85.5,1597.51,51.85
85.5,1597.47,51.88
85.5,1597.4,51.9
85.5,1597.4,51.93
85.5,1597.39,51.94
85.5,1597.4,51.96
85.5,1597.4,51.98
85.5,1597.4,52.01
85.5,1597.59,52.03
85.5,1597.94,52.07
85.5,1597.75,52.08
85.5,1597.76,52.05
85.5,1597.73,52.0
85.5,1597.63,51.94
85.5,1597.62,51.84
85.5,1597.51,51.7
85.5,1597.39,51.55
85.5,1597.12,51.36
85.5,1596.88,51.15
85.5,1596.68,50.91
85.5,1596.55,50.66
85.5,1596.31,50.38
85.5,1595.97,50.07
85.5,1595.63,49.75
85.5,1595.28,49.4
85.5,1594.9,49.04
85.5,1594.59,48.65
85.5,1594.19,48.25
85.5,1593.78,47.83
85.5,1593.29,47.38
85.5,1592.88,46.93
85.5,1592.47,46.46
85.5,1592.45,45.99
85.5,1591.67,45.49
85.5,1590.97,44.97
85.5,1590.34,44.42
85.5,1589.67,43.87
85.5,1588.98,43.32
85.5,1588.36,42.74
85.5,1587.64,42.15
85.5,1586.88,41.57
85.5,1586.11,40.97
85.5,1585.29,40.34
85.5,1584.5,39.75
85.5,1583.58,39.12
85.5,1582.8,38.52
85.5,1581.82,37.89
85.5,1580.92,37.27
85.5,1580.02,36.65
85.5,1579.03,36.01
85.5,1578.05,35.38
85.5,1577.04,34.75
85.5,1575.97,34.11
85.5,1574.84,33.47
85.5,1573.75,32.83
85.5,1572.66,32.19
85.5,1571.44,31.54
85.5,1570.27,30.91
85.5,1569.33,30.27
85.5,1567.9,29.62
85.5,1566.76,29.04
85.5,1565.45,28.4
85.5,1564.17,27.78
85.5,1562.98,27.18
85.5,1561.72,26.59
85.5,1560.47,25.99
85.5,1559.17,25.41
85.5,1557.88,24.83
85.5,1556.6,24.28
85.5,1555.34,23.74
85.5,1554.13,23.22
85.5,1553.0,22.71
85.5,1551.75,22.23
85.5,1550.64,21.76
85.5,1549.56,21.32
85.5,1548.51,20.91
85.5,1547.5,20.49
85.5,1546.57,20.11
85.5,1545.62,19.75
85.5,1544.79,19.42
85.5,1543.94,19.11
85.5,1543.23,18.83
104.5,1608.88,51.85
104.5,1609.06,51.91
104.5,1609.11,51.95
104.5,1609.19,51.99
104.5,1610.05,52.03
104.5,1609.73,52.07
104.5,1609.54,52.1
104.5,1609.41,52.14
104.5,1609.43,52.13
104.5,1609.21,52.08
104.5,1609.06,51.97
104.5,1608.95,51.83
104.5,1608.92,51.65
104.5,1608.8,51.46
104.5,1608.72,51.24
104.5,1608.53,51.01
104.5,1608.32,50.76
104.5,1607.97,50.51
104.5,1607.73,50.24
104.5,1607.61,49.98
104.5,1607.56,49.71
104.5,1607.3,49.45
104.5,1607.24,49.23
104.5,1607.43,49.07
104.5,1606.8,48.95
104.5,1606.44,48.86
104.5,1606.21,48.75
104.5,1606.02,48.57
104.5,1605.85,48.35
104.5,1605.66,48.11
104.5,1605.38,47.81
104.5,1605.24,47.49
104.5,1605.0,47.13
104.5,1604.59,46.75
104.5,1604.14,46.35
104.5,1603.81,45.92
104.5,1603.21,45.48
104.5,1602.67,45.01
104.5,1602.2,44.51
104.5,1601.56,44.0
104.5,1601.0,43.49
104.5,1600.47,42.94
104.5,1599.81,42.39
104.5,1599.25,41.82
104.5,1598.56,41.25
104.5,1597.81,40.66
104.5,1596.99,40.07
104.5,1596.16,39.46
104.5,1595.42,38.86
104.5,1594.58,38.25
104.5,1593.66,37.62
104.5,1592.86,37.0
104.5,1592.17,36.37
104.5,1590.95,35.74
104.5,1589.83,35.11
104.5,1588.75,34.48
104.5,1587.72,33.84
104.5,1586.71,33.2
104.5,1585.8,32.57
104.5,1584.68,31.93
104.5,1583.6,31.29
104.5,1582.5,30.66
104.5,1581.38,30.03
104.5,1580.13,29.4
104.5,1578.92,28.78
104.5,1577.78,28.16
104.5,1576.63,27.56
104.5,1575.47,26.96
104.5,1574.36,26.37
104.5,1573.1,25.79
104.5,1571.87,25.23
104.5,1570.63,24.67
104.5,1569.41,24.13
104.5,1568.32,23.61
104.5,1567.15,23.1
104.5,1565.98,22.61
104.5,1565.04,22.16
104.5,1564.04,21.73
104.5,1563.04,21.33
104.5,1562.11,20.95
104.5,1561.27,20.6
104.5,1560.38,20.26
104.5,1559.65,19.93
104.5,1558.95,19.63
104.5,1558.28,19.35
104.5,1557.72,19.11
121.7,1614.28,49.25
121.7,1614.29,49.36
121.7,1614.47,49.48
121.7,1614.56,49.59
121.7,1614.61,49.71
121.7,1614.72,49.83
121.7,1614.86,49.97
121.7,1614.96,50.12
121.7,1615.08,50.26
121.7,1615.15,50.35
121.7,1615.13,50.33
121.7,1615.08,50.23
121.7,1615.05,50.1
121.7,1614.82,49.93
121.7,1614.6,49.71
121.7,1614.42,49.44
121.7,1614.15,49.13
121.7,1613.87,48.79
121.7,1613.57,48.42
121.7,1613.21,48.02
121.7,1612.86,47.59
121.7,1612.48,47.14
121.7,1612.1,46.66
121.7,1611.6,46.17
121.7,1611.08,45.65
121.7,1610.63,45.12
121.7,1610.02,44.56
121.7,1609.49,44.0
121.7,1608.9,43.41
121.7,1608.27,42.82
121.7,1607.56,42.22
121.7,1606.83,41.6
121.7,1606.07,40.98
121.7,1605.38,40.34
121.7,1604.55,39.71
121.7,1603.8,39.07
121.7,1602.9,38.43
121.7,1602.05,37.77
121.7,1601.24,37.12
121.7,1600.33,36.46
121.7,1599.34,35.8
121.7,1598.35,35.14
121.7,1597.39,34.47
121.7,1596.37,33.81
121.7,1595.29,33.14
121.7,1594.21,32.48
121.7,1593.14,31.82
121.7,1592.02,31.16
121.7,1590.94,30.51
121.7,1589.77,29.87
121.7,1588.61,29.23
121.7,1587.45,28.59
121.7,1586.31,27.97
121.7,1585.1,27.35
121.7,1583.93,26.75
121.7,1582.77,26.17
121.7,1581.61,25.59
121.7,1580.43,25.03
121.7,1579.33,24.49
121.7,1578.24,23.96
121.7,1577.14,23.46
121.7,1576.07,22.97
121.7,1575.12,22.51
121.7,1574.06,22.06
121.7,1573.13,21.64
121.7,1579.33,24.49
121.7,1578.24,23.96
121.7,1577.14,23.46
121.7,1576.07,22.97
121.7,1575.12,22.51
121.7,1574.06,22.06
121.7,1573.13,21.64
156.0,1636.51,50.98
156.0,1636.53,50.97
156.0,1636.53,50.96
156.0,1636.52,50.94
156.0,1636.45,50.92
156.0,1636.46,50.9
156.0,1636.49,50.88
156.0,1636.44,50.86
156.0,1636.46,50.85
156.0,1636.46,50.83
156.0,1636.41,50.81
156.0,1636.38,50.79
156.0,1636.36,50.77
156.0,1636.42,50.76
156.0,1636.38,50.74
156.0,1636.38,50.72
156.0,1636.35,50.7
156.0,1636.31,50.68
156.0,1636.34,50.66
156.0,1636.33,50.64
156.0,1636.31,50.62
156.0,1636.31,50.6
156.0,1636.27,50.59
156.0,1636.3,50.56
156.0,1636.25,50.55
156.0,1636.25,50.53
156.0,1636.27,50.51
156.0,1636.25,50.49
156.0,1636.25,50.47
156.0,1636.24,50.45
156.0,1636.18,50.43
156.0,1636.17,50.42
156.0,1636.16,50.4
156.0,1636.17,50.38
156.0,1636.16,50.36
156.0,1636.12,50.34
156.0,1636.15,50.32
156.0,1636.2,50.3
156.0,1636.09,50.28
156.0,1636.03,50.26
156.0,1636.08,50.24
156.0,1636.07,50.23
156.0,1636.06,50.2
156.0,1636.05,50.18
156.0,1636.04,50.16
156.0,1636.02,50.15
156.0,1635.99,50.13
156.0,1635.97,50.11
156.0,1635.97,50.08
156.0,1635.98,50.07
156.0,1635.97,50.05
156.0,1636.0,50.03
156.0,1635.96,50.01
156.0,1635.96,49.99
156.0,1635.92,49.97
156.0,1635.92,49.95
156.0,1635.9,49.93
156.0,1635.97,49.91
156.0,1635.9,49.89
156.0,1635.82,49.86
156.0,1635.85,49.85
156.0,1635.85,49.83
156.0,1635.86,49.8
156.0,1635.82,49.79
156.0,1635.79,49.77
156.0,1635.83,49.75
156.0,1635.75,49.73
156.0,1635.85,49.7
156.0,1635.76,49.69
156.0,1635.7,49.67
156.0,1635.71,49.65
156.0,1635.72,49.63
156.0,1635.66,49.61
156.0,1635.75,49.59
156.0,1635.69,49.57
156.0,1635.65,49.55
156.0,1635.62,49.53
156.0,1635.63,49.51
156.0,1635.6,49.49
156.0,1635.6,49.48
156.0,1635.61,49.46
156.0,1635.56,49.44
156.0,1635.56,49.42
156.0,1635.56,49.41
156.0,1635.51,49.39
156.0,1635.52,49.38
156.0,1635.55,49.36
156.0,1635.52,49.35
156.0,1635.51,49.33
156.0,1635.51,49.32
156.0,1635.47,49.31
156.0,1635.5,49.28
156.0,1635.44,49.28
156.0,1635.44,49.26
156.0,1635.41,49.25
156.0,1635.45,49.23
156.0,1635.46,49.22
156.0,1635.44,49.2
156.0,1635.42,49.19
156.0,1635.44,49.18
156.0,1635.35,49.16
156.0,1635.4,49.15
156.0,1635.35,49.14
156.0,1635.44,49.13
156.0,1635.39,49.12
156.0,1635.4,49.11
156.0,1635.36,49.09
156.0,1635.41,49.08
156.0,1635.32,49.07
156.0,1635.26,49.05
156.0,1635.34,49.05
156.0,1635.24,49.04
156.0,1635.35,49.02
156.0,1635.27,49.02
156.0,1635.27,49.0
156.0,1635.24,48.99
156.0,1635.26,48.98
156.0,1635.29,48.97
156.0,1635.27,48.97
156.0,1635.24,48.95
156.0,1635.21,48.95
156.0,1635.22,48.94
156.0,1635.25,48.92
156.0,1635.22,48.92
156.0,1635.24,48.91
156.0,1635.23,48.9
156.0,1635.21,48.89
156.0,1635.17,48.89
156.0,1635.19,48.88
156.0,1635.2,48.87
156.0,1635.15,48.86
156.0,1635.19,48.85
156.0,1635.21,48.85
156.0,1635.2,48.84
156.0,1635.17,48.83
156.0,1635.15,48.83
156.0,1635.15,48.82
156.0,1635.11,48.82
156.0,1635.1,48.81
156.0,1635.13,48.8
156.0,1635.09,48.8
156.0,1635.12,48.79
156.0,1635.12,48.79
156.0,1635.12,48.78
156.0,1635.14,48.77
156.0,1635.11,48.77
156.0,1635.1,48.76
156.0,1635.09,48.76
156.0,1635.08,48.76
156.0,1635.09,48.75
156.0,1635.15,48.75
156.0,1635.15,48.74
156.0,1635.09,48.74
156.0,1635.12,48.74
156.0,1635.09,48.73
156.0,1635.07,48.73
156.0,1635.12,48.73
156.0,1635.07,48.72
156.0,1635.07,48.72
156.0,1635.02,48.72
156.0,1635.07,48.71
