"仪器信息控制器"
"设备名称","LiquiSonic Lab"
"编号",36916
"固件版本 V110.",40.354

"仪器信息传感器"
"固件版本 V210.",10.169
"编号",50627
"错误号",0x11030000

"温度T1",18.081
"温度T2",18.029

"产品名称","氯化钾在水中"
"数据组号","38.005"



日期和时间 ,浓度                 - 传感器 1 (50627),第二物理量 - 传感器 1 (50627),温度 - 传感器 1 (50627),声速 - 传感器 1 (50627),错误号 - 传感器 1 (50627),温度T1 - 传感器 1 (50627),温度T2 - 传感器 1 (50627),渡越时间 - 传感器 1 (50627),标准方差 - 传感器 1 (50627),dv/dt - 传感器 1 (50627),dT/dt - 传感器 1 (50627),Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,Unused,
,01:CCC,01:PHY,01:TMP,01:VEL,01:PRR,01:TP1,01:TP2,01:DUR,01:STD,01:VDT,01:TDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-22 11:10:30,1.15,0.00,24.74,1504.38,0x00000000,24.749,24.697,7403.0,0.589,-0.3,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-22 11:11:00,1.15,0.00,24.74,1504.39,0x00000000,24.748,24.695,7403.0,0.493,-0.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-22 11:11:30,1.15,0.00,24.73,1504.36,0x00000000,24.745,24.693,7403.1,0.422,-0.7,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-22 11:12:00,1.15,0.00,24.73,1504.33,0x00000000,24.744,24.691,7403.2,0.473,-1.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-22 11:12:30,1.15,0.00,24.73,1504.35,0x00000000,24.739,24.691,7403.2,0.492,-0.6,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-22 11:13:00,1.15,0.00,24.72,1504.31,0x00000000,24.737,24.685,7403.3,0.423,-1.6,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-22 11:13:30,1.15,0.00,24.72,1504.33,0x00000000,24.737,24.684,7403.2,0.479,-0.8,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-22 11:14:00,1.15,0.00,24.72,1504.33,0x00000000,24.729,24.681,7403.2,0.441,-0.4,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-22 11:14:30,1.15,0.00,24.72,1504.32,0x00000000,24.729,24.677,7403.3,0.486,-0.7,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-22 11:15:00,1.15,0.00,24.71,1504.30,0x00000000,24.727,24.676,7403.3,0.571,-0.9,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-22 11:15:30,1.15,0.00,24.71,1504.28,0x00000000,24.722,24.671,7403.4,0.439,-1.3,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-22 11:16:00,1.15,0.00,24.71,1504.27,0x00000000,24.724,24.671,7403.5,0.462,-1.4,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
