Time,Untitled
2025/1/13 17:51:07,23.46 
2025/1/13 17:51:48,18.47 
2025/1/13 17:51:50,17.12 
2025/1/13 17:51:52,17.12 
2025/1/13 17:51:54,17.48 
2025/1/13 17:51:56,22.04 
2025/1/13 17:51:58,19.59 
2025/1/13 17:52:00,24.84 
2025/1/13 17:52:02,21.88 
2025/1/13 17:52:04,21.88 
2025/1/13 17:52:06,22.22 
2025/1/13 17:52:09,23.82 
2025/1/13 17:52:11,20.75 
2025/1/13 17:52:13,20.75 
2025/1/13 17:52:15,22.33 
2025/1/13 17:52:17,19.53 
2025/1/13 17:52:19,19.53 
2025/1/13 17:52:21,19.28 
2025/1/13 17:52:23,19.53 
2025/1/13 17:52:25,18.37 
2025/1/13 17:52:28,20.03 
2025/1/13 17:52:30,18.80 
2025/1/13 17:52:32,17.53 
2025/1/13 17:52:34,17.53 
2025/1/13 17:52:36,18.89 
2025/1/13 17:52:38,18.63 
2025/1/13 17:52:40,18.68 
2025/1/13 17:52:42,23.80 
2025/1/13 17:52:44,23.91 
2025/1/13 17:52:47,23.94 
2025/1/13 17:52:49,23.94 
2025/1/13 17:52:51,24.36 
2025/1/13 17:52:53,22.78 
2025/1/13 17:52:55,22.82 
2025/1/13 17:52:57,27.61 
2025/1/13 17:52:59,23.35 
2025/1/13 17:53:01,23.24 
2025/1/13 17:53:03,25.55 
2025/1/13 17:53:06,25.55 
2025/1/13 17:53:08,23.51 
2025/1/13 17:53:10,26.18 
2025/1/13 17:53:12,26.73 
2025/1/13 17:53:14,24.00 
2025/1/13 17:53:16,31.24 
2025/1/13 17:53:18,27.24 
2025/1/13 17:53:20,27.24 
2025/1/13 17:53:22,25.90 
2025/1/13 17:53:25,25.93 
2025/1/13 17:53:29,23.65 
2025/1/13 17:53:31,28.65 
2025/1/13 17:53:33,25.73 
2025/1/13 17:53:35,25.73 
2025/1/13 17:53:37,26.13 
2025/1/13 17:53:52,33.76 
2025/1/13 17:54:06,24.63 
2025/1/13 17:54:07,24.63 
2025/1/13 17:54:07,24.63 
2025/1/13 17:54:08,24.63 
2025/1/13 17:54:09,24.68 
2025/1/13 17:54:09,24.68 
2025/1/13 17:54:10,24.68 
2025/1/13 17:54:11,24.68 
2025/1/13 17:54:11,30.30 
2025/1/13 17:54:12,30.30 
2025/1/13 17:54:12,30.30 
2025/1/13 17:54:13,30.30 
2025/1/13 17:54:14,27.88 
2025/1/13 17:54:14,27.88 
2025/1/13 17:54:15,27.88 
2025/1/13 17:54:15,27.88 
2025/1/13 17:54:16,27.85 
2025/1/13 17:54:17,27.85 
2025/1/13 17:54:17,27.85 
2025/1/13 17:54:18,27.85 
2025/1/13 17:54:18,32.93 
2025/1/13 17:54:19,32.93 
2025/1/13 17:54:20,32.93 
2025/1/13 17:54:20,32.93 
2025/1/13 17:54:21,28.60 
2025/1/13 17:54:34,28.60 
2025/1/13 17:54:41,28.06 
2025/1/13 17:54:43,28.01 
2025/1/13 17:54:45,25.67 
2025/1/13 17:54:47,29.25 
2025/1/13 17:54:49,29.25 
2025/1/13 17:54:51,26.19 
2025/1/13 17:54:53,26.30 
2025/1/13 17:54:55,25.83 
2025/1/13 17:54:58,24.01 
2025/1/13 17:55:00,24.03 
2025/1/13 17:55:02,27.59 
2025/1/13 17:55:04,27.59 
2025/1/13 17:55:06,24.84 
2025/1/13 17:55:08,30.51 
2025/1/13 17:55:10,30.40 
2025/1/13 17:55:12,28.01 
2025/1/13 17:55:15,27.41 
2025/1/13 17:55:17,28.89 
2025/1/13 17:55:19,28.89 
2025/1/13 17:55:21,26.43 
2025/1/13 17:55:23,33.15 
2025/1/13 17:55:25,38.00 
2025/1/13 17:55:27,36.18 
2025/1/13 17:55:29,50.62 
2025/1/13 17:55:32,43.14 
2025/1/13 17:55:34,43.14 
2025/1/13 17:55:36,38.14 
2025/1/13 17:55:38,36.11 
2025/1/13 17:55:40,32.50 
2025/1/13 17:55:42,37.78 
2025/1/13 17:55:44,38.63 
2025/1/13 17:55:46,36.58 
2025/1/13 17:55:48,36.54 
2025/1/13 17:55:51,36.54 
2025/1/13 17:55:53,38.89 
2025/1/13 17:55:55,35.80 
2025/1/13 17:55:57,43.17 
2025/1/13 17:55:59,43.91 
2025/1/13 17:56:01,38.73 
2025/1/13 17:56:03,45.40 
2025/1/13 17:56:05,45.40 
2025/1/13 17:56:07,42.02 
2025/1/13 17:56:10,38.41 
2025/1/13 17:56:12,48.76 
2025/1/13 17:56:16,41.99 
2025/1/13 17:56:18,51.70 
2025/1/13 17:56:20,51.70 
2025/1/13 17:56:22,43.69 
2025/1/13 17:56:24,43.72 
2025/1/13 17:56:26,53.01 
